run_id,strategy,oracle,cumulative_llm_calls,cumulative_labels,pp_f1w
core_set_llm_periodic_temporal_B,core_set,llm,1000,995,0.766623069496588
core_set_llm_periodic_temporal_B,core_set,llm,1050,1045,0.7678163271549453
core_set_llm_periodic_temporal_B,core_set,llm,1100,1095,0.7699964555384669
core_set_llm_periodic_temporal_B,core_set,llm,1150,1145,0.7723763035363477
core_set_llm_periodic_temporal_B,core_set,llm,1200,1195,0.7725735731301635
core_set_llm_periodic_temporal_B,core_set,llm,1250,1245,0.7761252225097263
drift_anchored_B_kimi_seed2025,drift_anchored,llm,50,26,0.6172196917808749
drift_anchored_B_kimi_seed2025,drift_anchored,llm,100,47,0.6172196917808749
drift_anchored_B_kimi_seed2025,drift_anchored,llm,150,67,0.6187903145959465
drift_anchored_B_kimi_seed2025,drift_anchored,llm,200,87,0.6185684968379421
drift_anchored_B_kimi_seed2025,drift_anchored,llm,250,117,0.6165641745020001
drift_anchored_B_kimi_seed2025,drift_anchored,llm,300,142,0.6192004378850793
drift_anchored_B_kimi_seed2025,drift_anchored,llm,350,160,0.6165880472209979
drift_anchored_B_kimi_seed2025,drift_anchored,llm,400,179,0.6165880472209979
drift_anchored_B_kimi_seed2025,drift_anchored,llm,450,204,0.6168741238484979
drift_anchored_B_kimi_seed2025,drift_anchored,llm,500,222,0.6168741238484979
drift_anchored_B_kimi_seed2025,drift_anchored,llm,550,240,0.6177495522946349
drift_anchored_B_kimi_seed2025,drift_anchored,llm,600,256,0.6177495522946349
drift_anchored_B_kimi_seed2025,drift_anchored,llm,650,275,0.6162784608842586
drift_anchored_B_kimi_seed2025,drift_anchored,llm,700,292,0.6156770749262657
drift_anchored_B_kimi_seed2025,drift_anchored,llm,750,314,0.6141979959456643
drift_anchored_B_kimi_seed2025,drift_anchored,llm,800,329,0.6141979959456643
drift_anchored_B_kimi_seed2025,drift_anchored,llm,850,342,0.6150699202728401
drift_anchored_B_kimi_seed2025,drift_anchored,llm,900,355,0.6120988891164624
drift_anchored_B_kimi_seed2025,drift_anchored,llm,950,372,0.6406983432184395
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1000,384,0.6392671055522899
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1050,394,0.6406983432184395
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1100,405,0.6543530659317671
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1150,407,0.6737415463580015
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1200,408,0.672374382467107
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1250,411,0.6764679438775344
drift_anchored_B_seed2025,drift_anchored,llm,50,50,0.624261529542696
drift_anchored_B_seed2025,drift_anchored,llm,100,100,0.6285457398980647
drift_anchored_B_seed2025,drift_anchored,llm,150,150,0.6228588795672243
drift_anchored_B_seed2025,drift_anchored,llm,200,200,0.6375983682303124
